employee_id,first_name,last_name,department,job_title,pay_grade,start_date,termination_date,salary,job_type,work_email
EMP1259,DEBORAH,Harris,Engineering,Project Engineer,PG6,2021-05-08,,93091,FULL-TIME,
EMP1127,DONALD,Reed,Customer Service,Call Center Agent,PG2,02-20-18,,38288,Full-time ,donald.reed@atech.org
EMP1495,Joshua,Lewis,Marketing,Graphic Designer,PG4,2018-11-02,11/25/2024,50399,PT,joshua.lewis@atech.org
EMP1068, Brian ,Parker,Finance,Finance Manager,PG7,11-30-25,,"$97,223",FULL-TIME,brian.parker@atech.org
EMP1120,Stephen,Adams,Marketing,SEO Specialist,PG4,"January 22, 2023",,"$63,278",Contractor,stephen.adams@atech.org
EMP1251,Matthew,Evans,Engineering,Project Engineer,PG6,28-Sep-2023,,80935,Full-time ,matthew.evans@atech.org
EMP1033,Scott,Thomas,Executive,Chief Executive Officer,PG6,2023/04/24,,"$76,377",Contractor,scott.thomas@atech.org
EMP1354,Robert,Jones,Customer Service,Customer Service Rep,PG3,2023-06-10,,42285,Full-time ,robert.jones@atech.org
EMP1205,Susan,garcia,Information Technology,DevOps Engineer,PG6,2024/03/06,,72602,full-time,susan.garcia@atech.org
EMP1223,John,PETERSON,Marketing,Marketing Director,PG9,"May 02, 2018",,135939.00,contract ,
EMP1096,Charles,Gonzalez,Human Resources,HR Coordinator,PG3,"May 18, 2024",02-Apr-2026,48293,Part Time,charles.gonzalez@atech.org
EMP1317,gregory,MORGAN,Information Technology,Network Engineer,pg6,"March 05, 2018",2017-09-18,70360.00,Full-time ,gregory.morgan@atech.org
EMP1149, Kathleen ,MARTINEZ,Information Technology,Network Engineer,PG6,03-18-15,2019-02-22,85021,Full Time,kathleen.martinez@atech.org
EMP1332,Debra,Cooper,Information Technology,DevOps Engineer,PG6,2015/06/25,,79360,CONTRACT,debra.cooper@atech.org
EMP1082,JOSEPH,Torres,Sales,Sales Manager,pg7,06/01/2024,,78992,full-time,joseph.torres@atech.org
EMP1484,James,HALL,Information Technology,QA Engineer,pg6,30-Aug-2024,,79617,Full Time,james.hall@atech.org
EMP1443,Christine, Perez ,Information Technology,Software Engineer,PG6,2022-05-03,,81621,PART-TIME,christine.perez@atech.org
EMP1079,Jeffrey,Reyes,Marketing,SEO Specialist,PG4,2018-08-20,,"$64,479",FT,jeffrey.reyes@atech.org
EMP1027,Laura, Lee ,Legal,Legal Assistant,PG2,03-21-21,,37246,PT,laura.lee@atech.org
EMP1446,LAURA,Carter,Engineering,Civil Engineer,PG6,2015/04/19,2022-04-16,84496,Part Time,laura.carter@atech.org
EMP1148,James,Diaz,Sales,Account Executive,,02/22/2021,08-Apr-2025,"$49,891",Part Time,james.diaz@atech.org
EMP1222,Susan,Thompson,Executive,Chief Executive Officer,PG6,02/20/2018,,74195,Part-Time,susan.thompson@atech.org
EMP1346,THOMAS,clark,Information Technology,IT Support Specialist,PG4,2017-07-04,01-07-23,61920,Full-time ,thomas.clark@atech.org
EMP1244,Kenneth,Morales,Marketing,Content Strategist,PG3,26-Jan-2016,,58420,FT,kenneth.morales@atech.org
EMP1210,Laura,Wilson,Executive,VP of Marketing,PG9,"September 21, 2023",,134700,part-time,laura.wilson@atech.org
EMP1174,MARK,Lee,Legal,Paralegal,PG4,2021/08/12,2024-08-15,,full-time,mark.lee@atech.org
EMP1170,patrick,jackson,Finance,Controller,PG3,05/19/2023,,51956,FT,patrick.jackson@atech.org
EMP1112,Angela,Edwards,Human Resources,Recruiter,PG3,2025-03-31,,44323,PT,angela.edwards@atech.org
EMP1411,PAUL,young,Operations,Warehouse Associate,PG2,2022-05-14,,"$33,450",temporary,paul.young@atech.org
EMP1138,Samantha,Parker,Customer Service,Customer Service Rep,PG3,05-Jun-2019,,48081,Full Time,"samantha.parker@atech,org"
EMP1279,Jennifer,BAILEY,Customer Service,Customer Service Rep,PG3,2023/12/05,,39110,Full Time,jennifer.bailey@atech.org
EMP1330,Rachel,Clark,Sales,Sales Manager,PG7,04-18-26,,86557,FT,rachel.clark@atech.org
EMP1130,scott,Adams,Customer Service,Customer Service Rep,PG3,11-24-16,,40781,Temp,scott.adams@atech.org
EMP1249,Anna,Wright,Engineering,Project Engineer,PG6,21-Dec-2018,,72427,PART-TIME,anna.wright@atech.org
EMP1005,Dorothy,Davis,Sales,Sales Representative,PG3,2021/01/02,,51189,Full-time ,dorothy.davis@atech.org
EMP1264,JAMES,Hill,Sales,Account Executive,pg3,10-Mar-2021,,50318.00,FULL-TIME,james.hill@atech.org
EMP1349,Jason,anderson,Operations,Operations Analyst,PG-5,01-18-18,,"$70,266",Full-time ,jason.anderson@atech.org
EMP1176,james,Diaz,Finance,Finance Manager,PG7,10-09-25,02/21/2026,96693,Full-Time,james.diaz1@atech.org
EMP1239,Andrew,Lopez,Customer Service,Call Center Agent,PG2,02-Jan-2019,,,contract ,andrew.lopez@atech.org
EMP1311,Nicole,Taylor,Customer Service,Customer Support Lead,PG5,2020-09-06,,59816,full-time,nicole.taylor@atech.org
EMP1369,James,Phillips,Sales,Sales Manager,PG7,2017/06/26,2023/05/11,85280,CONTRACT,james.phillips@atech.org
EMP1099,Betty,Cox,Engineering,Project Engineer,pg6,"November 15, 2015",09-09-19,84386.00,FULL-TIME,betty.cox@atech.org
EMP1481,Gregory,Rogers,Information Technology,DevOps Engineer,PG6,"October 18, 2017",,84312,Temporary,gregory.rogers@atech.org
EMP1104,Ronald,Hall,Information Technology,IT Manager,PG7,10/09/2016,,76378,full-time,ronald.hall@atech.org
EMP1436,Jonathan,Turner,Legal,Paralegal,PG4,08/19/2019,07-Jan-2022,51373.00,part-time,jonathan.turner@atech.org
EMP1059,Linda,Gomez,Marketing,Marketing Manager,PG7,"March 14, 2025",,"$79,002",Full-Time,linda.gomez@atech.org
EMP1269, Brandon ,Cruz,Executive,Chief Financial Officer,pg6,2020-03-27,07/05/2024,79433,Contract,brandon.cruz@atech.org
EMP1457,Susan,Perez,Finance,Finance Manager,PG7,2021-03-17,"August 15, 2021","$77,808",Full-Time,susan.perez@atech.org
EMP1159,MELISSA,Ramos,Legal,Legal Counsel,,03/13/2024,,111064,Contract,melissa.ramos@atech.org
EMP1153,Robert,Ramos,Finance,Accountant,PG3,10-May-2016,,48591,Full-time ,robert.ramos@atech.org
EMP1306,Mary,Anderson,Executive,Chief Financial Officer,PG6,01/06/2025,,84391,CONTRACT,mary.anderson@atech.org
EMP1430,SANDRA,KING,Finance,Finance Manager,PG7,2026/04/03,,"$77,700",CONTRACT,sandra.king@atech.org
EMP1169,anna,Flores,information technology,DevOps Engineer,PG-6,"March 20, 2020",2019-11-09,69243,FULL-TIME,anna.flores@atech.org
EMP1158,Michael,THOMPSON,Sales,Sales Director,PG9,07-18-16,,108009,contract ,michael.thompson@atech.org
EMP1131,Emily,Turner,Marketing,SEO Specialist,PG4,13-Jul-2020,,"$50,520",full-time,emily.turner@atech.org
EMP1322,Amy,Thompson,Information Technology,Software Engineer,PG6,05/24/2021,17-Apr-2024,"$69,770",Contractor,amy.thompson@atech.org
EMP1070,Patrick, Turner ,Marketing,Marketing Coordinator,pg3,14-Apr-2022,,"$48,636",PT,patrick.turner@atech.org
EMP1202, Michael ,Johnson,Information Technology,DevOps Engineer,PG6,09-05-16,,"$84,247",FT,michael.johnson@atech.org
EMP1452,melissa,Roberts,Legal,Compliance Officer,PG6,2016/08/06,,86005,temporary,melissa.roberts1@atech.org
EMP1144,Brian,Ward,Customer Service,Customer Support Lead,PG-5,2019/08/20,,68095,FULL-TIME,brian.ward@atech.org
EMP1434,Larry,Cox,Executive,VP of Marketing,PG9,2019-07-31,,"$145,617",full-time,larry.cox@atech.org
EMP1232,Anthony, Green ,Customer Service,Call Center Agent,,09-08-20,,33746,FT,anthony.green@atech.org
EMP1030,Larry,Brown,Finance,Payroll Specialist,PG-4,2025/05/10,,62044,FT,larry.brown@atech.org
